AccXangle 	 AccYangle
3.267231 	 -15.822815
3.242413 	 -15.239398
3.750109 	 -16.725221
3.446488 	 -16.035660
3.383481 	 -14.871737
3.296734 	 -14.607929
3.260483 	 -16.459282
3.315087 	 -14.696223
3.270982 	 -13.336130
3.206561 	 -14.871737
3.411825 	 -15.209409
3.238237 	 -15.489087
3.391208 	 -15.381430
3.297587 	 -15.153354
3.293326 	 -16.075050
3.361787 	 -14.164664
3.215267 	 -14.645532
3.121088 	 -13.722069
3.434805 	 -14.084608
4.034326 	 -17.653629
3.598322 	 -22.160487
3.542854 	 -14.454135
3.589094 	 -14.303082
3.332269 	 -13.814520
3.347046 	 -14.904956
3.353136 	 -14.129593
3.369612 	 -14.196373
3.180301 	 -13.326169
3.283991 	 -14.553746
3.391917 	 -15.321034
3.372148 	 -14.418363
3.308917 	 -14.732642
3.302940 	 -13.209128
3.257967 	 -12.709149
3.448325 	 -11.177318
3.349688 	 -16.262385
3.341042 	 -13.868317
3.276050 	 -13.629773
2.931554 	 -14.080780
3.079058 	 -8.801538
3.236052 	 -14.736294
3.368612 	 -15.149779
3.048068 	 0.760662
3.103630 	 -13.993876
3.331505 	 -14.432650
4.219588 	 -5.464100
3.005500 	 -14.557345
3.382607 	 -14.189315
3.368740 	 -14.871737
3.255440 	 -14.827668
3.250413 	 -14.535771
3.291349 	 -16.000232
3.122750 	 -15.493683
3.750900 	 -12.506301
3.267612 	 -13.595897
3.315941 	 -14.157636
3.364391 	 -14.582594
3.468331 	 -14.857018
3.338394 	 -15.003299
3.289076 	 -15.787817
3.483054 	 -14.586207
3.924123 	 -22.615149
3.320223 	 -14.175218
3.260483 	 -15.119686
3.254601 	 -14.282818
3.366130 	 -14.046081
3.368740 	 -14.871737
3.390333 	 -13.888996
3.287644 	 -17.123647
3.435336 	 -15.112224
3.342714 	 -14.750917
3.325375 	 -15.010726
3.312524 	 -15.089881
3.340182 	 -15.886553
3.357456 	 -13.875204
3.348804 	 -13.626378
3.366130 	 -14.725344
3.405918 	 -14.571762
3.412080 	 -14.325395
3.412080 	 -14.732642
3.410317 	 -15.265732
3.306353 	 -15.665354
3.315941 	 -14.564550
3.471155 	 -20.678044
3.441783 	 -14.495488
3.116943 	 -16.595292
3.237403 	 -14.542956
3.301237 	 -14.293438
3.468331 	 -14.314727
3.371355 	 -14.611554
3.407913 	 -14.912358
3.331406 	 -12.710588
3.264697 	 -14.597060
3.351400 	 -14.454135
3.350534 	 -15.127155
3.276212 	 -10.963235
0.719960 	 0.780474
2.600619 	 -22.936904
3.244924 	 -15.250672
3.289925 	 -14.307624
3.281983 	 -14.472086
3.373974 	 -13.667227
3.458967 	 -15.014442
2.773785 	 -1.380097
3.199680 	 -13.779331
1.161138 	 -11.620330
3.253763 	 -14.007761
3.440662 	 -16.075050
3.340182 	 -14.000816
3.393835 	 -14.853344
3.100750 	 -14.053035
3.423276 	 -13.902818
3.384223 	 -14.000816
3.391208 	 -14.300527
3.490565 	 -14.286356
3.348804 	 -14.578981
3.377369 	 -14.032122
3.302940 	 -14.436227
3.331505 	 -14.161149
3.284837 	 -14.286356
3.389459 	 -14.157636
3.345350 	 -14.293438
3.392083 	 -14.710769
3.382607 	 -14.325395
3.301237 	 -14.157636
3.410317 	 -14.318281
3.375722 	 -14.493685
3.602514 	 -14.940459
3.369543 	 -14.000816
3.344488 	 -14.289896
3.254601 	 -13.466153
3.229917 	 -10.950515
3.144649 	 -14.527387
3.298685 	 -14.553746
3.321224 	 -14.119105
3.404383 	 -12.153633
3.409436 	 -15.261964
3.383352 	 -13.316222
3.300620 	 -13.143528
3.345350 	 -13.612814
3.399778 	 -14.275745
3.374756 	 -13.885546
3.484280 	 -14.261621
3.308263 	 -14.667214
3.366076 	 -13.986945
3.365260 	 -13.906276
3.395588 	 -14.454135
3.329787 	 -13.609428
3.231578 	 -14.112123
3.458073 	 -14.604304
4.954007 	 -21.479252
3.606995 	 -17.735677
3.455837 	 -17.335620
3.291052 	 -13.436059
3.360890 	 -12.328462
3.197603 	 -13.533504
2.949213 	 -13.143528
3.416220 	 -12.781298
2.765609 	 -15.264833
3.440152 	 -15.194704
3.449574 	 -13.262073
3.422393 	 -13.626378
3.359187 	 -14.289896
3.302088 	 -14.025153
3.347076 	 -13.619593
3.446488 	 -14.692591
3.406797 	 -14.168180
3.337604 	 -13.718557
3.405918 	 -14.164664
3.324644 	 -13.997345
3.283144 	 -12.915349
3.328929 	 -14.421932
3.301237 	 -14.699857
3.356591 	 -14.279280
3.375627 	 -14.025153
3.270139 	 -13.742425
3.389459 	 -13.885546
3.309966 	 -14.133093
3.498679 	 -14.725344
3.357456 	 -14.011237
3.433564 	 -14.834995
3.391208 	 -14.164664
3.447376 	 -13.745842
3.319365 	 -13.626378
3.349669 	 -14.718053
3.328071 	 -14.282818
3.141447 	 -13.573706
3.371279 	 -14.007761
3.442440 	 -14.056568
3.438884 	 -14.992172
3.310628 	 -13.650177
3.362655 	 -14.304074
3.505257 	 -14.827668
3.378135 	 -14.112123
3.279764 	 -13.449417
3.263854 	 -13.366103
3.379004 	 -13.572284
3.430783 	 -10.709353
3.477311 	 -15.972647
3.327095 	 -15.826712
3.333316 	 -12.609201
3.372148 	 -13.739011
3.280609 	 -13.997345
3.410070 	 -13.715154
3.353999 	 -14.268679
3.505257 	 -14.421932
3.535549 	 -15.235643
3.231578 	 -14.382764
3.393661 	 -15.596243
3.472294 	 -14.000816
3.732824 	 -15.812923
3.406797 	 -16.188821
3.159054 	 -13.633169
3.492683 	 -13.173968
3.402407 	 -14.421932
3.348804 	 -14.714410
3.575943 	 -16.157136
3.374666 	 -13.419396
3.385967 	 -13.735597
3.557601 	 -14.396983
3.216317 	 -13.762948
3.358321 	 -15.902139
3.283991 	 -14.418363
3.245401 	 -14.783855
3.420921 	 -13.814520
3.311485 	 -15.149607
3.065587 	 -14.900072
3.334946 	 -13.356097
3.388586 	 -14.018192
3.513405 	 -14.046081
3.315087 	 -14.966273
3.335887 	 -14.659979
3.397153 	 -14.670834
3.469227 	 -14.182263
3.309772 	 -14.056568
3.283991 	 -14.147108
3.499583 	 -14.728993
3.276897 	 -13.906276
3.268454 	 -14.007761
3.309966 	 -14.133093
3.268454 	 -14.007761
3.373887 	 -14.831331
3.315941 	 -14.699857
3.312524 	 -14.279280
3.296985 	 -14.816691
3.376498 	 -14.707130
3.451825 	 -14.578981
3.419745 	 -14.025153
3.427378 	 -15.078733
3.403284 	 -14.289896
3.344488 	 -14.154126
3.413582 	 -14.947826
3.348827 	 -15.992549
2.779952 	 -17.300659
2.570380 	 -10.059760
7.420470 	 -13.962737
3.327214 	 -14.279280
3.372228 	 -13.386157
3.408556 	 -14.582594
3.366130 	 -14.046081
3.560325 	 -14.522582
3.440662 	 -16.342140
3.296136 	 -13.864876
3.275205 	 -14.714410
-3.227253 	 -10.539036
-3.909581 	 -3.949914
-0.275906 	 -23.392806
-6.018059 	 -65.246403
-6.010995 	 -53.543450
-5.806013 	 -33.965097
-5.131112 	 -58.532736
-2.001244 	 -49.928198
-5.311964 	 -42.007549
-3.358293 	 -53.832779
-3.885664 	 -48.494856
-7.091363 	 -51.854588
-5.245715 	 -26.319763
-5.881894 	 -35.962047
3.796771 	 -49.904442
-1.945115 	 -60.753233
-5.459430 	 -59.301875
-3.808444 	 -32.306085
2.664134 	 -10.473510
0.343872 	 -59.607908
0.058850 	 -21.549724
6.475622 	 -53.503798
-1.636738 	 -52.841648
-3.218541 	 -56.989783
2.628504 	 -53.239091
-4.553992 	 -61.297936
-6.240865 	 -50.518563
-3.392299 	 -45.989514
-2.406700 	 -49.909406
-6.210977 	 -68.081644
-4.057186 	 -42.305382
-0.746204 	 -54.055547
-0.083260 	 -56.345769
-9.702018 	 -51.734559
-10.752993 	 -53.114958
-10.032707 	 -58.283990
-5.203261 	 -57.192402
-8.491121 	 -59.335689
-8.178080 	 -54.917011
-3.501358 	 -58.599422
-5.186646 	 -41.202873
-9.111780 	 -11.648644
-11.006150 	 11.754252
-6.884159 	 -57.520239
